Block_No,MSE,UsedBase
847,400.984375,33,99,99,
864,103.078125,37,46,99,
878,126.218750,48,99,99,
879,399.984375,17,51,56,
880,495.921875,6,22,39,
881,369.250000,5,28,41,
885,357.718750,26,34,63,
888,256.296875,6,19,43,
891,181.375000,51,99,99,
896,98.359375,46,49,99,
909,243.843750,46,99,99,
910,401.781250,27,50,51,
911,335.312500,51,59,99,
912,342.109375,3,99,99,
913,231.125000,31,34,99,
915,247.421875,46,99,99,
917,215.296875,16,31,50,
919,341.984375,2,3,34,
928,136.234375,46,62,99,
944,99.500000,2,34,99,
947,153.812500,48,99,99,
948,324.546875,28,55,99,
953,198.546875,59,99,99,
957,351.375000,15,63,99,
960,139.421875,25,46,99,
981,201.890625,17,99,99,
982,240.578125,10,25,37,
988,110.718750,55,99,99,
992,187.265625,39,46,99,
1015,210.671875,39,99,99,
1016,225.703125,2,59,99,
1017,210.593750,31,39,59,
1018,355.281250,1,59,99,
1019,323.937500,2,39,40,
1020,328.968750,39,63,99,
1023,270.828125,19,51,99,

ICA, 791,1, 67,2, 61,3, 106,1-3, 234,0 562 
